sample,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O
OM12-025,53.47,0.32,1.63,0.25,4.72,0.14,16.70,23.54,0.16,0.02
OM12-025,52.90,0.42,2.51,0.34,5.12,0.06,16.18,22.68,0.29,
OM12-025,52.10,0.54,2.41,0.55,5.14,0.13,16.06,22.81,0.33,
OM12-025,52.26,0.42,2.55,0.11,5.35,0.16,16.27,23.04,0.34,
OM12-025,52.75,0.42,2.61,0.48,5.42,0.12,16.38,22.52,0.30,
OM12-025,52.85,0.36,2.39,0.33,5.10,0.07,16.33,22.78,0.29,0.02
OM12-025,53.13,0.35,2.05,0.24,5.09,0.12,16.63,23.08,0.28,0.01
OM12-025,53.32,0.51,2.24,0.27,5.24,0.13,16.41,22.73,0.31,
OM12-025,52.63,0.48,2.14,0.32,5.01,0.14,16.88,22.25,0.33,
OM12-025,52.81,0.46,2.25,0.33,5.13,0.13,16.82,22.32,0.29,
OM12-025,52.50,0.41,2.89,0.69,5.27,0.11,16.00,22.60,0.33,
OM12-025,53.14,0.41,2.95,0.64,5.84,0.10,16.73,20.40,0.29,0.01
OM12-025,53.01,0.46,2.44,0.40,5.21,0.14,16.92,22.13,0.30,
OM12-025,52.99,0.36,2.75,0.43,5.86,0.12,17.07,20.97,0.28,0.01
OM12-025,52.84,0.49,2.24,0.20,5.33,0.14,16.57,22.20,0.34,0.01
OM12-025,53.17,0.51,2.30,0.30,5.49,0.13,17.21,21.50,0.33,
OM12-025,52.61,0.51,2.44,0.28,5.15,0.13,16.34,22.21,0.39,0.02
OM12-025,53.06,0.48,2.37,0.27,5.34,0.18,16.32,22.23,0.30,0.01
OM12-025,53.79,0.29,1.87,0.22,5.28,0.08,16.55,22.88,0.30,
OM12-025,53.21,0.52,2.47,0.30,5.43,0.18,16.60,21.75,0.28,