sample,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu
OM12-025,0.201,0.482,0.0643,0.288,0.0512,0.204,0.0379,0.00435,0.0213,0.0969,0.00339,0.00688,0.000609,0.00331,0.000282
OM12-025,0.195,0.461,0.0651,0.275,0.0524,0.208,0.0364,0.00406,0.0195,0.0886,0.00316,0.00631,0.00073,0.00529,0.000529
OM12-025,0.192,0.46,0.0664,0.27,0.049,0.201,0.0396,0.00503,0.0227,0.0981,0.00293,0.00688,0.000779,0.0024,0.000505
OM12-025,0.165,0.429,0.0577,0.245,0.0595,0.206,0.0432,0.00453,0.0197,0.0993,0.00351,0.007,0.00103,0.00536,0.000305
OM12-025,0.209,0.487,0.0682,0.283,0.0562,0.212,0.0452,0.00514,0.0261,0.115,0.00452,0.00906,0.000743,0.00526,0.000599
OM12-025,0.176,0.437,0.0606,0.314,0.0617,0.208,0.0405,0.00509,0.0263,0.126,0.00487,0.00906,0.00101,0.00416,0.000611
OM12-025,0.174,0.406,0.0635,0.257,0.0475,0.209,0.048,0.00561,0.026,0.133,0.00447,0.00941,0.00127,0.00492,0.000916
OM12-025,0.187,0.433,0.0598,0.277,0.0628,0.206,0.0589,0.00612,0.0274,0.141,0.00495,0.0108,0.00108,0.00547,0.000764
OM12-025,0.209,0.509,0.0684,0.297,0.0497,0.209,0.053,0.00561,0.0254,0.114,0.00472,0.0102,0.00108,0.00481,0.000493
OM12-025,0.199,0.487,0.0694,0.287,0.054,0.195,0.0423,0.00597,0.0193,0.111,0.00392,0.00723,0.00103,0.00514,0.00067
OM12-025,0.202,0.468,0.0719,0.306,0.0628,0.203,0.0607,0.00573,0.0369,0.156,0.00519,0.0134,0.00127,0.00492,0.00101
OM12-025,0.18,0.438,0.0647,0.28,0.0562,0.207,0.0468,0.00634,0.0289,0.129,0.00461,0.00998,0.000974,0.00492,0.000658
OM12-025,0.179,0.434,0.0593,0.262,0.0495,0.203,0.0492,0.00528,0.0279,0.122,0.0044,0.00895,0.00134,0.00615,
OM12-025,0.178,0.421,0.0633,0.257,0.0551,0.206,0.0435,0.00596,0.0207,0.121,0.00513,0.00918,0.000889,0.00366,0.000411
OM12-025,0.19,0.469,0.0628,0.28,0.0517,0.212,0.0451,0.00487,0.0268,0.11,0.0036,0.0086,0.000937,0.00404,0.000435
OM12-025,0.195,0.48,0.0621,0.27,0.0562,0.199,0.0427,0.0053,0.0225,0.108,0.00336,0.00734,0.000864,0.00445,0.000364
OM12-025,0.201,0.488,0.0638,0.289,0.0517,0.2,0.0396,0.00555,0.0215,0.108,0.00356,0.00906,0.00117,0.00481,0.000364
OM12-025,0.189,0.459,0.0651,0.299,0.0573,0.215,0.0559,0.0067,0.0333,0.146,0.00538,0.0106,0.00151,0.00637,0.00108
OM12-025,0.162,0.438,0.0552,0.247,0.0517,0.196,0.0454,0.00514,0.0258,0.121,0.00376,0.00929,0.00119,0.00473,0.000552
OM12-025,0.175,0.465,0.0595,0.246,0.054,0.2,0.0372,0.00493,0.0248,0.116,0.00428,0.00757,0.000998,0.00393,0.000446