sample,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O
OM12-025,47.02,0.02,33.87,0.43,,0.04,17.58,1.81,0.02
OM12-025,46.67,0.02,34.08,0.49,,,17.38,1.86,0.03
OM12-025,46.78,0.03,33.95,0.38,0.01,,17.31,1.72,0.02
OM12-025,46.17,0.01,34.78,0.35,,,18.00,1.26,
OM12-025,46.97,,33.87,0.39,0.05,,17.29,1.81,0.02
OM12-025,46.71,,33.99,0.41,,,17.64,1.82,0.03
OM12-025,47.10,0.02,34.01,0.60,0.03,,17.56,1.70,0.02
OM12-025,46.87,0.02,34.11,0.53,0.01,,17.46,1.79,0.01
OM12-025,47.10,0.02,33.97,0.40,,0.01,17.58,1.86,0.02
OM12-025,46.08,0.03,33.53,0.48,,0.01,17.54,1.84,0.02
OM12-025,46.83,0.04,34.08,0.48,,,17.63,1.89,0.02
OM12-025,46.89,0.03,33.49,0.42,,0.02,17.39,1.83,0.01
OM12-025,46.84,0.02,34.07,0.44,0.04,,17.51,1.88,0.01
OM12-025,46.78,0.03,34.04,0.41,,,17.43,1.79,0.01
OM12-025,46.90,0.01,34.16,0.43,0.01,0.01,17.74,1.73,0.01
OM12-025,46.91,0.03,33.87,0.36,,,17.54,1.71,0.02
OM12-025,46.88,,34.08,0.38,0.01,,17.71,1.79,0.02
OM12-025,46.99,0.04,33.88,0.40,0.03,,17.71,1.89,
OM12-025,46.66,0.02,33.99,0.43,,0.01,17.56,1.79,0.02
OM12-025,47.02,0.03,33.91,0.36,,,17.30,1.82,0.02